url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,613,327
/Unity-Technologies/Megacity-Sample/tree/master/Assets,93,62
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,73,33
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,51,27
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,31,18
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,23,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,20,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,17,12
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/UI,17,10
/Unity-Technologies/Megacity-Sample/tree/master/Packages,16,14
